,PC #,Date,Location,Time Bin,Observer,Start Time,End Time,Weather,Precipitation,Wind,Temperature,eBird Link,Notes,Jon's problem checker,Start_Datetime,End_Datetime,Date_completeness
21,22,10/12/2023,B4,Morning (7-9am),SRG,8:38,8:48,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152016715,,-,2023-10-12 08:38:00,2023-10-12 08:48:00,0.6666666666666666
22,23,10/12/2023,B5,Morning (7-9am),SRG,8:50,9:00,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152021837,,-,2023-10-12 08:50:00,2023-10-12 09:00:00,0.6666666666666666
23,24,10/12/2023,B6,Morning (7-9am),SRG,9:02,9:11,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152018390,,-,2023-10-12 09:02:00,2023-10-12 09:11:00,0.6666666666666666
24,25,10/12/2023,A6,Mid-day (11am-1pm),SRG,11:54,12:04,Sunny,Dry,Calm,69,https://ebird.org/checklist/S152029889,,-,2023-10-12 11:54:00,2023-10-12 12:04:00,0.6666666666666666
25,26,10/12/2023,A5,Mid-day (11am-1pm),SRG,12:06,12:16,Sunny,Dry,Calm,69,https://ebird.org/checklist/S152030552,,-,2023-10-12 12:06:00,2023-10-12 12:16:00,0.6666666666666666
26,27,10/12/2023,A4,Mid-day (11am-1pm),SRG,12:17,12:27,Sunny,Dry,Calm,69,https://ebird.org/checklist/S152031318,,-,2023-10-12 12:17:00,2023-10-12 12:27:00,0.6666666666666666
27,28,10/12/2023,A3,Mid-day (11am-1pm),SRG,12:29,12:39,Sunny,Dry,Calm,71,https://ebird.org/checklist/S152032041,,-,2023-10-12 12:29:00,2023-10-12 12:39:00,0.6666666666666666
28,29,10/12/2023,A2,Mid-day (11am-1pm),SRG,12:44,12:54,Sunny,Dry,Calm,72,https://ebird.org/checklist/S152033051,Construction,-,2023-10-12 12:44:00,2023-10-12 12:54:00,0.6666666666666666
29,30,10/12/2023,A1,Mid-day (11am-1pm),SRG,12:57,13:07,Sunny,Dry,Calm,72,https://ebird.org/checklist/S152034061,,-,2023-10-12 12:57:00,2023-10-12 13:07:00,0.6666666666666666
36,37,10/14/2023,C1,Morning (7-9am),SRG,7:53,8:03,Cloudy,Fog,Calm,59,https://ebird.org/checklist/S152170873,Construction drilling,-,2023-10-14 07:53:00,2023-10-14 08:03:00,0.3333333333333333
37,38,10/14/2023,C2,Morning (7-9am),SRG,8:07,8:16,Cloudy,Fog,Calm,59,https://ebird.org/checklist/S152172659,,-,2023-10-14 08:07:00,2023-10-14 08:16:00,0.3333333333333333
38,39,10/14/2023,C3,Morning (7-9am),SRG,8:18,8:28,Cloudy,Fog,Calm,59,https://ebird.org/checklist/S152174633,,-,2023-10-14 08:18:00,2023-10-14 08:28:00,0.3333333333333333
39,40,10/14/2023,C4,Morning (7-9am),SRG,8:30,8:39,Cloudy,Fog,Calm,60,https://ebird.org/checklist/S152176664,Bunch of tables and people,-,2023-10-14 08:30:00,2023-10-14 08:39:00,0.3333333333333333
40,41,10/14/2023,C5,Morning (7-9am),SRG,8:41,8:51,Cloudy,Fog,Calm,61,https://ebird.org/checklist/S152178710,Most of lot is blocked off by construction fencing,-,2023-10-14 08:41:00,2023-10-14 08:51:00,0.3333333333333333
41,42,10/14/2023,C6,Morning (7-9am),SRG,8:55,9:05,Cloudy,Fog,Calm,61,https://ebird.org/checklist/S152180476,,-,2023-10-14 08:55:00,2023-10-14 09:05:00,0.3333333333333333
48,49,10/20/2023,B1,Morning (7-9am),SRG,7:48,7:58,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152669368,,-,2023-10-20 07:48:00,2023-10-20 07:58:00,1.0
49,50,10/20/2023,B2,Morning (7-9am),SRG,8:00,8:11,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152670312,,-,2023-10-20 08:00:00,2023-10-20 08:11:00,1.0
50,51,10/20/2023,B3,Morning (7-9am),SRG,8:15,8:25,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152671364,,-,2023-10-20 08:15:00,2023-10-20 08:25:00,1.0
51,52,10/20/2023,B4,Morning (7-9am),SRG,8:26,8:36,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152672326,Some machinery noise.,-,2023-10-20 08:26:00,2023-10-20 08:36:00,1.0
52,53,10/20/2023,B5,Morning (7-9am),SRG,8:39,8:49,Cloudy,Drizzle,Slight Wind,59,https://ebird.org/checklist/S152673298,Lots of noise from Weil Hall and across the street,-,2023-10-20 08:39:00,2023-10-20 08:49:00,1.0
53,54,10/20/2023,B6,Morning (7-9am),SRG,8:52,9:01,Cloudy,Drizzle,Slight Wind,59,https://ebird.org/checklist/S152674059,,-,2023-10-20 08:52:00,2023-10-20 09:01:00,1.0
54,55,10/20/2023,C1,Mid-day (11am-1pm),LSW,11:00,11:10,Partial Cloudy,Dry,Slight Wind,63,https://ebird.org/checklist/S152683390,loud construction beside Evan's Hall entrance,-,2023-10-20 11:00:00,2023-10-20 11:10:00,1.0
55,56,10/20/2023,C2,Mid-day (11am-1pm),LSW,11:16,11:26,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152684479,,-,2023-10-20 11:16:00,2023-10-20 11:26:00,1.0
56,57,10/20/2023,C3,Mid-day (11am-1pm),LSW,11:32,11:42,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152685365,,-,2023-10-20 11:32:00,2023-10-20 11:42:00,1.0
57,58,10/20/2023,C4,Mid-day (11am-1pm),LSW,11:46,11:56,Cloudy,Dry,Calm,65,https://ebird.org/checklist/S152686230,,-,2023-10-20 11:46:00,2023-10-20 11:56:00,1.0
58,59,10/20/2023,C5,Mid-day (11am-1pm),LSW,12:04,12:14,Cloudy,Dry,Windy,66,https://ebird.org/checklist/S152687750,"construction in traffic circle, C5 blocked so I stood in front of Durham Studio Theatre - path between C4-C5 blocked due to construction so I headed north from C4 and turned west after passing Dwinelle, then turned south to reach C5",-,2023-10-20 12:04:00,2023-10-20 12:14:00,1.0
59,60,10/20/2023,C6,Mid-day (11am-1pm),LSW,12:24,12:34,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S152689622,,-,2023-10-20 12:24:00,2023-10-20 12:34:00,1.0
60,61,10/20/2023,A1,Evening (3-5pm),SRG,15:04,15:14,Partial Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S152698733,,-,2023-10-20 15:04:00,2023-10-20 15:14:00,1.0
61,62,10/20/2023,A2,Evening (3-5pm),SRG,15:17,15:27,Partial Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S152699554,,-,2023-10-20 15:17:00,2023-10-20 15:27:00,1.0
62,63,10/20/2023,A3,Evening (3-5pm),SRG,15:35,15:44,Partial Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S152700565,,-,2023-10-20 15:35:00,2023-10-20 15:44:00,1.0
63,64,10/20/2023,A4,Evening (3-5pm),SRG,15:46,15:56,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152701221,Loud music playing from West Circle,-,2023-10-20 15:46:00,2023-10-20 15:56:00,1.0
64,65,10/20/2023,A5,Evening (3-5pm),SRG,15:58,16:08,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152701795,,-,2023-10-20 15:58:00,2023-10-20 16:08:00,1.0
65,66,10/20/2023,A6,Evening (3-5pm),SRG,16:09,16:19,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152702401,,-,2023-10-20 16:09:00,2023-10-20 16:19:00,1.0
66,67,10/22/2023,A1,Morning (7-9am),SRG,7:43,7:53,Cloudy,Drizzle,Calm,58,https://ebird.org/checklist/S152824606,,-,2023-10-22 07:43:00,2023-10-22 07:53:00,1.0
67,68,10/22/2023,A2,Morning (7-9am),SRG,7:55,8:05,Cloudy,Drizzle,Calm,58,https://ebird.org/checklist/S152826043,,-,2023-10-22 07:55:00,2023-10-22 08:05:00,1.0
68,69,10/22/2023,A3,Morning (7-9am),SRG,8:11,8:21,Cloudy,Drizzle,Calm,58,https://ebird.org/checklist/S152827715,,-,2023-10-22 08:11:00,2023-10-22 08:21:00,1.0
69,70,10/22/2023,A4,Morning (7-9am),SRG,8:22,8:31,Cloudy,Drizzle,Calm,60,https://ebird.org/checklist/S152828870,,-,2023-10-22 08:22:00,2023-10-22 08:31:00,1.0
70,71,10/22/2023,A5,Morning (7-9am),SRG,8:33,8:42,Cloudy,Drizzle,Calm,61,https://ebird.org/checklist/S152830070,,-,2023-10-22 08:33:00,2023-10-22 08:42:00,1.0
71,72,10/22/2023,A6,Morning (7-9am),SRG,8:45,8:55,Cloudy,Drizzle,Calm,61,https://ebird.org/checklist/S152831272,,-,2023-10-22 08:45:00,2023-10-22 08:55:00,1.0
72,73,10/22/2023,C1,Mid-day (11am-1pm),SRG,11:46,11:55,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152849759,,-,2023-10-22 11:46:00,2023-10-22 11:55:00,1.0
73,74,10/22/2023,C2,Mid-day (11am-1pm),SRG,11:57,12:07,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152850688,,-,2023-10-22 11:57:00,2023-10-22 12:07:00,1.0
74,75,10/22/2023,C3,Mid-day (11am-1pm),SRG,12:09,12:20,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152851783,,-,2023-10-22 12:09:00,2023-10-22 12:20:00,1.0
75,76,10/22/2023,C4,Mid-day (11am-1pm),SRG,12:22,12:32,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152852833,,-,2023-10-22 12:22:00,2023-10-22 12:32:00,1.0
76,77,10/22/2023,C5,Mid-day (11am-1pm),SRG,12:34,12:44,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152853841,,-,2023-10-22 12:34:00,2023-10-22 12:44:00,1.0
77,78,10/22/2023,C6,Mid-day (11am-1pm),SRG,12:47,12:56,Cloudy,Drizzle,Calm,64,https://ebird.org/checklist/S152854965,,-,2023-10-22 12:47:00,2023-10-22 12:56:00,1.0
78,79,10/22/2023,B6,Evening (3-5pm),SRG,14:56,15:06,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152865708,,-,2023-10-22 14:56:00,2023-10-22 15:06:00,1.0
79,80,10/22/2023,B5,Evening (3-5pm),SRG,15:07,15:17,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152866660,Loud whirring,-,2023-10-22 15:07:00,2023-10-22 15:17:00,1.0
80,81,10/22/2023,B4,Evening (3-5pm),SRG,15:19,15:29,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152867630,,-,2023-10-22 15:19:00,2023-10-22 15:29:00,1.0
81,82,10/22/2023,B3,Evening (3-5pm),SRG,15:29,15:39,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152868406,,-,2023-10-22 15:29:00,2023-10-22 15:39:00,1.0
82,83,10/22/2023,B2,Evening (3-5pm),SRG,15:41,15:50,Cloudy,Dry,Calm,63,https://ebird.org/checklist/S152869156,,-,2023-10-22 15:41:00,2023-10-22 15:50:00,1.0
83,84,10/22/2023,B1,Evening (3-5pm),SRG,15:52,16:02,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S152869998,,-,2023-10-22 15:52:00,2023-10-22 16:02:00,1.0
84,85,10/25/2023,B1,Morning (7-9am),LSW,7:01,7:11,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153034870,first PC was still a little dusky at start but brightened after a couple minutes,-,2023-10-25 07:01:00,2023-10-25 07:11:00,1.0
85,86,10/25/2023,B2,Morning (7-9am),LSW,7:17,7:27,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153036019,,-,2023-10-25 07:17:00,2023-10-25 07:27:00,1.0
86,87,10/25/2023,B3,Morning (7-9am),LSW,7:33,7:43,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153036919,,-,2023-10-25 07:33:00,2023-10-25 07:43:00,1.0
87,88,10/25/2023,B4,Morning (7-9am),LSW,7:46,7:56,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153037735,loud construction ongoing in fenced off area by B4 and behind in Dwinelle traffic circle - hard to hear,-,2023-10-25 07:46:00,2023-10-25 07:56:00,1.0
88,89,10/25/2023,B5,Morning (7-9am),LSW,8:00,8:10,Sunny,Dry,Calm,53,https://ebird.org/checklist/S153038622,loud equipment across the creek,-,2023-10-25 08:00:00,2023-10-25 08:10:00,1.0
89,90,10/25/2023,B6,Morning (7-9am),LSW,8:13,8:23,Sunny,Dry,Calm,53,https://ebird.org/checklist/S153039505,,-,2023-10-25 08:13:00,2023-10-25 08:23:00,1.0
90,91,10/25/2023,C1,Mid-day (11am-1pm),SRG,12:12,12:22,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153054034,,-,2023-10-25 12:12:00,2023-10-25 12:22:00,1.0
91,92,10/25/2023,C2,Mid-day (11am-1pm),SRG,12:24,12:33,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153054613,,-,2023-10-25 12:24:00,2023-10-25 12:33:00,1.0
92,93,10/25/2023,C3,Mid-day (11am-1pm),SRG,12:36,12:45,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153055301,,-,2023-10-25 12:36:00,2023-10-25 12:45:00,1.0
93,94,10/25/2023,C4,Mid-day (11am-1pm),SRG,12:47,12:57,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153056045,protest at sather gate,-,2023-10-25 12:47:00,2023-10-25 12:57:00,1.0
94,95,10/25/2023,C5,Mid-day (11am-1pm),SRG,13:01,13:10,Partial Cloudy,Dry,Calm,64,https://ebird.org/checklist/S153056746,construction,-,2023-10-25 13:01:00,2023-10-25 13:10:00,1.0
95,96,10/25/2023,C6,Mid-day (11am-1pm),SRG,13:12,13:21,Partial Cloudy,Dry,Calm,64,https://ebird.org/checklist/S153057416,,-,2023-10-25 13:12:00,2023-10-25 13:21:00,1.0
96,97,10/25/2023,A6,Evening (3-5pm),SRG,15:50,16:00,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153066296,,-,2023-10-25 15:50:00,2023-10-25 16:00:00,1.0
97,98,10/25/2023,A5,Evening (3-5pm),SRG,16:02,16:12,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153066906,,-,2023-10-25 16:02:00,2023-10-25 16:12:00,1.0
98,99,10/25/2023,A4,Evening (3-5pm),SRG,16:14,16:24,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153067473,,-,2023-10-25 16:14:00,2023-10-25 16:24:00,1.0
99,100,10/25/2023,A3,Evening (3-5pm),SRG,16:26,16:36,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153067949,construction,-,2023-10-25 16:26:00,2023-10-25 16:36:00,1.0
100,101,10/25/2023,A2,Evening (3-5pm),SRG,16:41,16:51,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153068594,,-,2023-10-25 16:41:00,2023-10-25 16:51:00,1.0
101,102,10/25/2023,A1,Evening (3-5pm),SRG,16:54,17:04,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153071767,,-,2023-10-25 16:54:00,2023-10-25 17:04:00,1.0
102,103,10/28/2023,C1,Morning (7-9am),SRG,7:48,7:58,Sunny,Dry,Calm,45,https://ebird.org/checklist/S153243432,construction,-,2023-10-28 07:48:00,2023-10-28 07:58:00,1.0
103,104,10/28/2023,C2,Morning (7-9am),SRG,7:59,8:09,Sunny,Dry,Calm,46,https://ebird.org/checklist/S153244520,construction,-,2023-10-28 07:59:00,2023-10-28 08:09:00,1.0
104,105,10/28/2023,C3,Morning (7-9am),SRG,8:12,8:22,Sunny,Dry,Calm,46,https://ebird.org/checklist/S153245664,,-,2023-10-28 08:12:00,2023-10-28 08:22:00,1.0
105,106,10/28/2023,C4,Morning (7-9am),SRG,8:24,8:34,Sunny,Dry,Calm,46,https://ebird.org/checklist/S153246820,,-,2023-10-28 08:24:00,2023-10-28 08:34:00,1.0
106,107,10/28/2023,C5,Morning (7-9am),SRG,8:36,8:46,Sunny,Dry,Calm,48,https://ebird.org/checklist/S153248145,,-,2023-10-28 08:36:00,2023-10-28 08:46:00,1.0
107,108,10/28/2023,C6,Morning (7-9am),SRG,8:50,9:00,Sunny,Dry,Calm,48,https://ebird.org/checklist/S153249436,,-,2023-10-28 08:50:00,2023-10-28 09:00:00,1.0
108,109,10/28/2023,C1,Mid-day (11am-1pm),SUC,11:45,11:55,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S153290907,Bechtel Center construction,-,2023-10-28 11:45:00,2023-10-28 11:55:00,1.0
109,110,10/28/2023,C2,Mid-day (11am-1pm),SUC,11:57,12:07,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S153291093,Campanile music + marching band rally --> really hard to hear birbs,-,2023-10-28 11:57:00,2023-10-28 12:07:00,1.0
110,111,10/28/2023,C3,Mid-day (11am-1pm),SUC,12:11,12:21,Sunny,Dry,Calm,61,https://ebird.org/checklist/S153291457,"Campanile music, hard to hear stuff, they were playing ""This is Hallowe'en""!",-,2023-10-28 12:11:00,2023-10-28 12:21:00,1.0
111,112,10/28/2023,C4,Mid-day (11am-1pm),SUC,12:25,12:35,Sunny,Dry,Calm,61,https://ebird.org/checklist/S153931438,,-,2023-10-28 12:25:00,2023-10-28 12:35:00,1.0
112,113,10/28/2023,C5,Mid-day (11am-1pm),SUC,12:38,12:48,Sunny,Dry,Slight Wind,62,https://ebird.org/checklist/S153932644,"Barbecues in dwinelle lot, did count a bit to the north because roundabout not accessible",-,2023-10-28 12:38:00,2023-10-28 12:48:00,1.0
113,114,10/28/2023,C6,Mid-day (11am-1pm),SUC,12:51,13:01,Sunny,Dry,Calm,63,https://ebird.org/checklist/S153932838,,-,2023-10-28 12:51:00,2023-10-28 13:01:00,1.0
114,115,10/28/2023,B1,Evening (3-5pm),SUC,15:48,15:58,Sunny,Dry,Slight Wind,67,https://ebird.org/checklist/S159137336,,-,2023-10-28 15:48:00,2023-10-28 15:58:00,1.0
115,116,10/28/2023,B2,Evening (3-5pm),SUC,15:59,16:09,Sunny,Dry,Calm,67,https://ebird.org/checklist/S159142225,,-,2023-10-28 15:59:00,2023-10-28 16:09:00,1.0
116,117,10/28/2023,B3,Evening (3-5pm),SUC,16:10,16:20,Sunny,Dry,Calm,67,https://ebird.org/checklist/S159157029,,-,2023-10-28 16:10:00,2023-10-28 16:20:00,1.0
117,118,10/28/2023,B4,Evening (3-5pm),SUC,16:24,16:34,Sunny,Dry,Slight Wind,66,https://ebird.org/checklist/S159158577,,-,2023-10-28 16:24:00,2023-10-28 16:34:00,1.0
118,119,10/28/2023,B5,Evening (3-5pm),SUC,16:36,16:46,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S159160150,,-,2023-10-28 16:36:00,2023-10-28 16:46:00,1.0
119,120,10/28/2023,B6,Evening (3-5pm),SUC,16:49,16:59,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S159160500,,-,2023-10-28 16:49:00,2023-10-28 16:59:00,1.0
120,121,10/31/2023,B1,Morning (7-9am),SRG,7:59,8:09,Partial Cloudy,Dry,Calm,50,https://ebird.org/checklist/S153469720,,-,2023-10-31 07:59:00,2023-10-31 08:09:00,1.0
121,122,10/31/2023,B2,Morning (7-9am),SRG,8:11,8:21,Partial Cloudy,Dry,Calm,51,https://ebird.org/checklist/S153470595,,-,2023-10-31 08:11:00,2023-10-31 08:21:00,1.0
122,123,10/31/2023,B3,Morning (7-9am),SRG,8:24,8:34,Partial Cloudy,Dry,Calm,51,https://ebird.org/checklist/S153471503,,-,2023-10-31 08:24:00,2023-10-31 08:34:00,1.0
123,124,10/31/2023,B4,Morning (7-9am),SRG,8:35,8:45,Partial Cloudy,Dry,Calm,51,https://ebird.org/checklist/S153472176,construction,-,2023-10-31 08:35:00,2023-10-31 08:45:00,1.0
124,125,10/31/2023,B5,Morning (7-9am),SRG,8:47,8:57,Partial Cloudy,Dry,Calm,52,https://ebird.org/checklist/S153472925,Whirring from Weil,-,2023-10-31 08:47:00,2023-10-31 08:57:00,1.0
125,126,10/31/2023,B6,Morning (7-9am),SRG,8:59,9:09,Partial Cloudy,Dry,Calm,52,https://ebird.org/checklist/S153473594,,-,2023-10-31 08:59:00,2023-10-31 09:09:00,1.0
126,127,10/31/2023,B6,Mid-day (11am-1pm),SRG,10:56,11:06,Partial Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S153480601,,-,2023-10-31 10:56:00,2023-10-31 11:06:00,1.0
127,128,10/31/2023,B5,Mid-day (11am-1pm),SRG,11:08,11:18,Partial Cloudy,Dry,Slight Wind,62,https://ebird.org/checklist/S153481128,Whirring from Weil,-,2023-10-31 11:08:00,2023-10-31 11:18:00,1.0
128,129,10/31/2023,B4,Mid-day (11am-1pm),SRG,11:20,11:30,Partial Cloudy,Dry,Slight Wind,62,https://ebird.org/checklist/S153481814,construction,-,2023-10-31 11:20:00,2023-10-31 11:30:00,1.0
129,130,10/31/2023,B3,Mid-day (11am-1pm),SRG,11:32,11:42,Partial Cloudy,Dry,Slight Wind,63,https://ebird.org/checklist/S153482380,,-,2023-10-31 11:32:00,2023-10-31 11:42:00,1.0
130,131,10/31/2023,B2,Mid-day (11am-1pm),SRG,11:45,11:55,Partial Cloudy,Dry,Slight Wind,63,https://ebird.org/checklist/S153483118,,-,2023-10-31 11:45:00,2023-10-31 11:55:00,1.0
131,132,10/31/2023,B1,Mid-day (11am-1pm),SRG,11:57,12:07,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S153483843,,-,2023-10-31 11:57:00,2023-10-31 12:07:00,1.0
132,133,10/31/2023,A1,Evening (3-5pm),SUC,15:20,15:30,Partial Cloudy,Dry,Slight Wind,74,https://ebird.org/checklist/S159161062,"someone blasting ""numa numa"" (dragostea din tei) so couldn't hear much",-,2023-10-31 15:20:00,2023-10-31 15:30:00,1.0
133,134,10/31/2023,A2,Evening (3-5pm),SUC,15:34,15:44,Sunny,Dry,Slight Wind,75,https://ebird.org/checklist/S159162351,"loud construction by University House, obscured a lot of the bird calls",-,2023-10-31 15:34:00,2023-10-31 15:44:00,1.0
134,135,10/31/2023,A3,Evening (3-5pm),SUC,15:52,16:02,Sunny,Dry,Slight Wind,75,https://ebird.org/checklist/S159163171,loud powerwashing by Genetics and Plant Bio building - could not hear much,-,2023-10-31 15:52:00,2023-10-31 16:02:00,1.0
135,136,10/31/2023,A4,Evening (3-5pm),SUC,16:06,16:16,Sunny,Dry,Windy,75,https://ebird.org/checklist/S171191903,,-,2023-10-31 16:06:00,2023-10-31 16:16:00,1.0
136,137,10/31/2023,A5,Evening (3-5pm),SUC,16:19,16:29,Sunny,Dry,Calm,75,https://ebird.org/checklist/S171193710,very quiet today; ac so hard to hear,-,2023-10-31 16:19:00,2023-10-31 16:29:00,1.0
