PC #,Date,Location,Time Bin,Species,# Individuals,Notes,Editorial notes,Jon Problem Checker
6,10/06/2023,A6,Morning (7-9am),Steller's Jay,2,,,-
6,10/06/2023,A6,Morning (7-9am),American Crow,14,,,-
6,10/06/2023,A6,Morning (7-9am),Bewick's Wren,1,,,-
6,10/06/2023,A6,Morning (7-9am),House Finch,5,,,-
6,10/06/2023,A6,Morning (7-9am),Dark-eyed Junco,1,,,-
6,10/06/2023,A6,Morning (7-9am),California Towhee,1,,,-
7,10/06/2023,C1,Mid-day (11am-1pm),Rock Pigeon,12,,,-
7,10/06/2023,C1,Mid-day (11am-1pm),Anna's Hummingbird,1,,,-
7,10/06/2023,C1,Mid-day (11am-1pm),American Crow,2,,,-
8,10/06/2023,C2,Mid-day (11am-1pm),Rock Pigeon,5,,,-
8,10/06/2023,C2,Mid-day (11am-1pm),Anna's Hummingbird,2,one of these individuals was seen in last PC,,-
8,10/06/2023,C2,Mid-day (11am-1pm),Peregrine Falcon,1,flew off Campanile during chimes,,-
9,10/06/2023,C3,Mid-day (11am-1pm),Rock Pigeon,10,,,-
9,10/06/2023,C3,Mid-day (11am-1pm),Anna's Hummingbird,2,,,-
10,10/06/2023,C4,Mid-day (11am-1pm),American Crow,2,,,-
10,10/06/2023,C4,Mid-day (11am-1pm),Chestnut-backed Chickadee,1,,,-
10,10/06/2023,C4,Mid-day (11am-1pm),Dark-eyed Junco,3,,,-
10,10/06/2023,C4,Mid-day (11am-1pm),Townsend's Warbler,1,,,-
12,10/06/2023,C6,Mid-day (11am-1pm),Rock Pigeon,10,,,-
12,10/06/2023,C6,Mid-day (11am-1pm),American Crow,3,,,-
12,10/06/2023,C6,Mid-day (11am-1pm),Oak Titmouse,1,,,-
12,10/06/2023,C6,Mid-day (11am-1pm),American Robin,1,,,-
13,10/06/2023,A1,Evening (3-5pm),Rock Pigeon,33,,,-
13,10/06/2023,A1,Evening (3-5pm),American Crow,1,,,-
13,10/06/2023,A1,Evening (3-5pm),Chestnut-backed Chickadee,3,,,-
14,10/06/2023,A2,Evening (3-5pm),Anna's Hummingbird,2,,,-
14,10/06/2023,A2,Evening (3-5pm),California Scrub-Jay,1,,,-
14,10/06/2023,A2,Evening (3-5pm),American Crow,1,,,-
14,10/06/2023,A2,Evening (3-5pm),Common Raven,1,,,-
14,10/06/2023,A2,Evening (3-5pm),Chestnut-backed Chickadee,4,,,-
14,10/06/2023,A2,Evening (3-5pm),American Robin,1,,,-
14,10/06/2023,A2,Evening (3-5pm),Dark-eyed Junco,2,,,-
14,10/06/2023,A2,Evening (3-5pm),California Towhee,1,,,-
15,10/06/2023,A3,Evening (3-5pm),American Crow,1,,,-
15,10/06/2023,A3,Evening (3-5pm),Common Raven,2,One landed in the construction site.,,-
15,10/06/2023,A3,Evening (3-5pm),Chestnut-backed Chickadee,3,,,-
15,10/06/2023,A3,Evening (3-5pm),Lesser Goldfinch,1,,,-
15,10/06/2023,A3,Evening (3-5pm),Dark-eyed Junco,1,,,-
16,10/06/2023,A4,Evening (3-5pm),Anna's Hummingbird,1,,,-
16,10/06/2023,A4,Evening (3-5pm),American Crow,8,,,-
16,10/06/2023,A4,Evening (3-5pm),Red-breasted Nuthatch,1,,,-
16,10/06/2023,A4,Evening (3-5pm),California Towhee,2,,,-
17,10/06/2023,A5,Evening (3-5pm),Nuttall's Woodpecker,1,,,-
17,10/06/2023,A5,Evening (3-5pm),American Crow,2,,,-
17,10/06/2023,A5,Evening (3-5pm),Chestnut-backed Chickadee,3,,,-
17,10/06/2023,A5,Evening (3-5pm),Red-breasted Nuthatch,1,,,-
17,10/06/2023,A5,Evening (3-5pm),Townsend's Warbler,2,,,-
18,10/06/2023,A6,Evening (3-5pm),Anna's Hummingbird,1,,,-
18,10/06/2023,A6,Evening (3-5pm),Chestnut-backed Chickadee,2,,,-
18,10/06/2023,A6,Evening (3-5pm),American Robin,1,,,-
18,10/06/2023,A6,Evening (3-5pm),Dark-eyed Junco,2,,,-
18,10/06/2023,A6,Evening (3-5pm),Townsend's Warbler,1,,,-
19,10/12/2023,B1,Morning (7-9am),Rock Pigeon,10,,,-
19,10/12/2023,B1,Morning (7-9am),Nuttall's Woodpecker,1,,,-
19,10/12/2023,B1,Morning (7-9am),American Crow,8,,,-
19,10/12/2023,B1,Morning (7-9am),Common Raven,1,,,-
19,10/12/2023,B1,Morning (7-9am),Bewick's Wren,3,,,-
19,10/12/2023,B1,Morning (7-9am),House Finch,2,,,-
19,10/12/2023,B1,Morning (7-9am),Dark-eyed Junco,3,,,-
20,10/12/2023,B2,Morning (7-9am),Anna's Hummingbird,1,,,-
20,10/12/2023,B2,Morning (7-9am),Nuttall's Woodpecker,1,,,-
20,10/12/2023,B2,Morning (7-9am),American Crow,4,,,-
20,10/12/2023,B2,Morning (7-9am),Chestnut-backed Chickadee,4,,,-
20,10/12/2023,B2,Morning (7-9am),Brown Creeper,1,,,-
20,10/12/2023,B2,Morning (7-9am),Bewick's Wren,2,Same individuals as those in previous count,,-
20,10/12/2023,B2,Morning (7-9am),House Finch,8,,,-
20,10/12/2023,B2,Morning (7-9am),Lesser Goldfinch,1,,,-
21,10/12/2023,B3,Morning (7-9am),Anna's Hummingbird,1,,,-
21,10/12/2023,B3,Morning (7-9am),American Crow,12,,,-
21,10/12/2023,B3,Morning (7-9am),Bewick's Wren,1,,,-
21,10/12/2023,B3,Morning (7-9am),House Finch,3,,,-
21,10/12/2023,B3,Morning (7-9am),Dark-eyed Junco,2,,,-
22,10/12/2023,B4,Morning (7-9am),Nuttall's Woodpecker,1,,,-
22,10/12/2023,B4,Morning (7-9am),American Crow,3,,,-
22,10/12/2023,B4,Morning (7-9am),House Finch,10,,,-
22,10/12/2023,B4,Morning (7-9am),California Towhee,1,,,-
23,10/12/2023,B5,Morning (7-9am),Rock Pigeon,2,,,-
23,10/12/2023,B5,Morning (7-9am),Black Phoebe,1,,,-
23,10/12/2023,B5,Morning (7-9am),American Crow,4,,,-
23,10/12/2023,B5,Morning (7-9am),Chestnut-backed Chickadee,2,,,-
23,10/12/2023,B5,Morning (7-9am),Dark-eyed Junco,7,One Slate-colored (rare),,-
23,10/12/2023,B5,Morning (7-9am),Song Sparrow,3,,,-
24,10/12/2023,B6,Morning (7-9am),Anna's Hummingbird,1,,,-
24,10/12/2023,B6,Morning (7-9am),American Crow,4,,,-
24,10/12/2023,B6,Morning (7-9am),Chestnut-backed Chickadee,5,,,-
24,10/12/2023,B6,Morning (7-9am),House Finch,6,,,-
25,10/12/2023,A6,Mid-day (11am-1pm),Anna's Hummingbird,2,,,-
25,10/12/2023,A6,Mid-day (11am-1pm),Picidae_Family,1,,,-
25,10/12/2023,A6,Mid-day (11am-1pm),California Scrub-Jay,1,,,-
25,10/12/2023,A6,Mid-day (11am-1pm),Bewick's Wren,1,,,-
25,10/12/2023,A6,Mid-day (11am-1pm),Townsend's Warbler,1,,,-
26,10/12/2023,A5,Mid-day (11am-1pm),Chestnut-backed Chickadee,6,,,-
26,10/12/2023,A5,Mid-day (11am-1pm),California Towhee,2,,,-
27,10/12/2023,A4,Mid-day (11am-1pm),Anna's Hummingbird,2,,,-
27,10/12/2023,A4,Mid-day (11am-1pm),American Crow,1,,,-
27,10/12/2023,A4,Mid-day (11am-1pm),Lesser Goldfinch,1,,,-
27,10/12/2023,A4,Mid-day (11am-1pm),California Towhee,1,,,-
28,10/12/2023,A3,Mid-day (11am-1pm),Rock Pigeon,13,,,-
28,10/12/2023,A3,Mid-day (11am-1pm),Red-tailed Hawk,1,,,-
28,10/12/2023,A3,Mid-day (11am-1pm),American Crow,1,,,-
28,10/12/2023,A3,Mid-day (11am-1pm),Common Raven,2,,,-
28,10/12/2023,A3,Mid-day (11am-1pm),Lesser Goldfinch,4,,,-
29,10/12/2023,A2,Mid-day (11am-1pm),Anna's Hummingbird,2,,,-
29,10/12/2023,A2,Mid-day (11am-1pm),Red-shouldered Hawk,1,,,-
29,10/12/2023,A2,Mid-day (11am-1pm),Nuttall's Woodpecker,1,,,-
29,10/12/2023,A2,Mid-day (11am-1pm),American Crow,1,,,-
29,10/12/2023,A2,Mid-day (11am-1pm),Oak Titmouse,3,,,-
30,10/12/2023,A1,Mid-day (11am-1pm),Rock Pigeon,40,,,-
30,10/12/2023,A1,Mid-day (11am-1pm),Anna's Hummingbird,1,,,-
30,10/12/2023,A1,Mid-day (11am-1pm),Chestnut-backed Chickadee,3,,,-
31,10/12/2023,A1,Evening (3-5pm),American Crow,10,flyovers,,-
31,10/12/2023,A1,Evening (3-5pm),Anna's Hummingbird,1,"flew by fast, couldn't ID",changed from Trochilidae_Family ,-
31,10/12/2023,A1,Evening (3-5pm),Rock Pigeon,4,Maybe less,,-
31,10/12/2023,A1,Evening (3-5pm),Paridae_Family,1,heard only,,-
32,10/12/2023,A2,Evening (3-5pm),Townsend's Warbler,2,heard only,,-
32,10/12/2023,A2,Evening (3-5pm),Steller's Jay,1,,,-
32,10/12/2023,A2,Evening (3-5pm),Dark-eyed Junco,3,,,-
32,10/12/2023,A2,Evening (3-5pm),Red-shouldered Hawk,1,,,-
32,10/12/2023,A2,Evening (3-5pm),Nuttall's Woodpecker,1,,,-
32,10/12/2023,A2,Evening (3-5pm),American Robin,1,,,-
32,10/12/2023,A2,Evening (3-5pm),American Crow,5,,,-
32,10/12/2023,A2,Evening (3-5pm),Sitta_Genus,1,,,-
32,10/12/2023,A2,Evening (3-5pm),Anna's Hummingbird,1,,changed from Trochilidae_Family ,-
32,10/12/2023,A2,Evening (3-5pm),California Towhee,1,,,-
33,10/12/2023,A3,Evening (3-5pm),American Crow,5,maybe more,,-
33,10/12/2023,A3,Evening (3-5pm),Black Phoebe,1,heard only,,-
33,10/12/2023,A3,Evening (3-5pm),Paridae_Family,1,"heard only, far",,-
34,10/12/2023,A4,Evening (3-5pm),Anna's Hummingbird,1,maybe more,,-
34,10/12/2023,A4,Evening (3-5pm),American Crow,5,maybe more,,-
34,10/12/2023,A4,Evening (3-5pm),Paridae_Family,1,"heard only, far",,-
35,10/12/2023,A5,Evening (3-5pm),Paridae_Family,1,heard only,,-
35,10/12/2023,A5,Evening (3-5pm),Song Sparrow,2,heard only,,-
35,10/12/2023,A5,Evening (3-5pm),American Crow,2,,,-
35,10/12/2023,A5,Evening (3-5pm),Dark-eyed Junco,3,maybe more,,-
35,10/12/2023,A5,Evening (3-5pm),California Towhee,1,,,-
35,10/12/2023,A5,Evening (3-5pm),Lesser Goldfinch,2,,,-
35,10/12/2023,A5,Evening (3-5pm),Townsend's Warbler,1,,,-
36,10/12/2023,A6,Evening (3-5pm),Paridae_Family,3,,,-
36,10/12/2023,A6,Evening (3-5pm),American Crow,5,,,-
36,10/12/2023,A6,Evening (3-5pm),Lesser Goldfinch,2,,,-
36,10/12/2023,A6,Evening (3-5pm),Fringillidae_Family,1,heard only,,-
37,10/14/2023,C1,Morning (7-9am),Peregrine Falcon,1,,,-
37,10/14/2023,C1,Morning (7-9am),American Crow,4,,,-
37,10/14/2023,C1,Morning (7-9am),House Finch,4,,,-
37,10/14/2023,C1,Morning (7-9am),Dark-eyed Junco,2,,,-
37,10/14/2023,C1,Morning (7-9am),California Towhee,2,,,-
38,10/14/2023,C2,Morning (7-9am),Anna's Hummingbird,2,,,-
38,10/14/2023,C2,Morning (7-9am),Hairy Woodpecker,1,,,-
38,10/14/2023,C2,Morning (7-9am),Picidae_Family,1,,,-
38,10/14/2023,C2,Morning (7-9am),Peregrine Falcon,1,Same bird as previous count,,-
38,10/14/2023,C2,Morning (7-9am),American Crow,6,Two of the same individuals,,-
38,10/14/2023,C2,Morning (7-9am),House Finch,2,,,-
38,10/14/2023,C2,Morning (7-9am),California Towhee,1,,,-
39,10/14/2023,C3,Morning (7-9am),Rock Pigeon,1,,,-
39,10/14/2023,C3,Morning (7-9am),Anna's Hummingbird,2,,,-
39,10/14/2023,C3,Morning (7-9am),Peregrine Falcon,2,"One of same individuals. Carrying dead medium-sized bird, likely pigeon but may also be robin",,-
39,10/14/2023,C3,Morning (7-9am),American Crow,1,,,-
39,10/14/2023,C3,Morning (7-9am),American Robin,2,,,-
40,10/14/2023,C4,Morning (7-9am),Peregrine Falcon,1,Same as prev count,,-
40,10/14/2023,C4,Morning (7-9am),American Crow,6,,,-
40,10/14/2023,C4,Morning (7-9am),Dark-eyed Junco,2,,,-
41,10/14/2023,C5,Morning (7-9am),American Crow,20,,,-
41,10/14/2023,C5,Morning (7-9am),Chestnut-backed Chickadee,8,,,-
41,10/14/2023,C5,Morning (7-9am),Ruby-crowned Kinglet,2,,,-
41,10/14/2023,C5,Morning (7-9am),Golden-crowned Kinglet,2,,,-
41,10/14/2023,C5,Morning (7-9am),Red-breasted Nuthatch,1,,,-
41,10/14/2023,C5,Morning (7-9am),Brown Creeper,2,,,-
41,10/14/2023,C5,Morning (7-9am),Lesser Goldfinch,2,,,-
41,10/14/2023,C5,Morning (7-9am),Dark-eyed Junco,3,,,-
41,10/14/2023,C5,Morning (7-9am),Yellow-rumped Warbler,4,,,-
41,10/14/2023,C5,Morning (7-9am),Townsend's Warbler,1,,,-
42,10/14/2023,C6,Morning (7-9am),Rock Pigeon,2,,,-
42,10/14/2023,C6,Morning (7-9am),Anna's Hummingbird,2,,,-
42,10/14/2023,C6,Morning (7-9am),Steller's Jay,2,Mimicked Red shouldered Hawk,,-
42,10/14/2023,C6,Morning (7-9am),American Crow,12,,,-
42,10/14/2023,C6,Morning (7-9am),Bushtit,4,,,-
42,10/14/2023,C6,Morning (7-9am),American Robin,2,,,-
42,10/14/2023,C6,Morning (7-9am),House Finch,3,,,-
42,10/14/2023,C6,Morning (7-9am),Dark-eyed Junco,1,,,-
42,10/14/2023,C6,Morning (7-9am),California Towhee,2,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),Rock Pigeon,6,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),Anna's Hummingbird,3,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),California Scrub-Jay,1,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),American Crow,4,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),Chestnut-backed Chickadee,4,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),House Finch,1,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),Lesser Goldfinch,2,,,-
43,10/14/2023,A1,Mid-day (11am-1pm),California Towhee,1,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),Anna's Hummingbird,2,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),Downy Woodpecker,1,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),American Crow,1,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),Chestnut-backed Chickadee,6,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),American Robin,1,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),Lesser Goldfinch,2,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),Dark-eyed Junco,3,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),California Towhee,1,,,-
44,10/14/2023,A2,Mid-day (11am-1pm),Townsend's Warbler,1,,,-
45,10/14/2023,A3,Mid-day (11am-1pm),Common Raven,2,,,-
45,10/14/2023,A3,Mid-day (11am-1pm),Lesser Goldfinch,2,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),Rock Pigeon,6,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),Anna's Hummingbird,2,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),Red-shouldered Hawk,1,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),American Crow,2,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),Common Raven,1,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),Lesser Goldfinch,1,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),Dark-eyed Junco,3,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),White-crowned Sparrow,1,,,-
46,10/14/2023,A4,Mid-day (11am-1pm),California Towhee,2,,,-
47,10/14/2023,A5,Mid-day (11am-1pm),Hairy Woodpecker,1,,,-
47,10/14/2023,A5,Mid-day (11am-1pm),Steller's Jay,1,,,-
47,10/14/2023,A5,Mid-day (11am-1pm),American Crow,1,,,-
47,10/14/2023,A5,Mid-day (11am-1pm),Chestnut-backed Chickadee,4,,,-
47,10/14/2023,A5,Mid-day (11am-1pm),Dark-eyed Junco,7,,,-
47,10/14/2023,A5,Mid-day (11am-1pm),California Towhee,2,,,-
48,10/14/2023,A6,Mid-day (11am-1pm),American Crow,1,,,-
48,10/14/2023,A6,Mid-day (11am-1pm),Chestnut-backed Chickadee,4,,,-
48,10/14/2023,A6,Mid-day (11am-1pm),Lesser Goldfinch,3,,,-
48,10/14/2023,A6,Mid-day (11am-1pm),White-crowned Sparrow,1,,,-
49,10/20/2023,B1,Morning (7-9am),Anna's Hummingbird,3,,,-
49,10/20/2023,B1,Morning (7-9am),American Crow,15,,,-
49,10/20/2023,B1,Morning (7-9am),American Robin,1,,,-
49,10/20/2023,B1,Morning (7-9am),House Finch,1,,,-
49,10/20/2023,B1,Morning (7-9am),White-crowned Sparrow,1,,,-
50,10/20/2023,B2,Morning (7-9am),Larus_Genus,1,,,-
50,10/20/2023,B2,Morning (7-9am),Downy Woodpecker,1,,,-
50,10/20/2023,B2,Morning (7-9am),American Crow,2,,,-
50,10/20/2023,B2,Morning (7-9am),Brown Creeper,1,,,-
50,10/20/2023,B2,Morning (7-9am),Hermit Thrush,1,,,-
50,10/20/2023,B2,Morning (7-9am),American Robin,4,,,-
50,10/20/2023,B2,Morning (7-9am),House Finch,2,,,-
50,10/20/2023,B2,Morning (7-9am),Dark-eyed Junco,1,,,-
50,10/20/2023,B2,Morning (7-9am),Spotted Towhee,1,,,-
51,10/20/2023,B3,Morning (7-9am),Rock Pigeon,2,,,-
51,10/20/2023,B3,Morning (7-9am),Anna's Hummingbird,4,,,-
51,10/20/2023,B3,Morning (7-9am),American Crow,10,,,-
51,10/20/2023,B3,Morning (7-9am),Chestnut-backed Chickadee,3,,,-
51,10/20/2023,B3,Morning (7-9am),House Finch,3,,,-
51,10/20/2023,B3,Morning (7-9am),Dark-eyed Junco,4,,,-
51,10/20/2023,B3,Morning (7-9am),Yellow-rumped Warbler,6,,,-
52,10/20/2023,B4,Morning (7-9am),Nuttall's Woodpecker,1,,,-
52,10/20/2023,B4,Morning (7-9am),American Crow,12,,,-
52,10/20/2023,B4,Morning (7-9am),Chestnut-backed Chickadee,16,,,-
52,10/20/2023,B4,Morning (7-9am),Oak Titmouse,6,,,-
52,10/20/2023,B4,Morning (7-9am),House Finch,8,,,-
52,10/20/2023,B4,Morning (7-9am),Dark-eyed Junco,4,,,-
52,10/20/2023,B4,Morning (7-9am),California Towhee,2,,,-
52,10/20/2023,B4,Morning (7-9am),Yellow-rumped Warbler,4,,,-
52,10/20/2023,B4,Morning (7-9am),Townsend's Warbler,1,,,-
53,10/20/2023,B5,Morning (7-9am),American Crow,6,,,-
53,10/20/2023,B5,Morning (7-9am),Chestnut-backed Chickadee,2,,,-
53,10/20/2023,B5,Morning (7-9am),Dark-eyed Junco,4,,,-
54,10/20/2023,B6,Morning (7-9am),Anna's Hummingbird,1,,,-
54,10/20/2023,B6,Morning (7-9am),Black Phoebe,1,,,-
54,10/20/2023,B6,Morning (7-9am),American Crow,6,,,-
54,10/20/2023,B6,Morning (7-9am),Chestnut-backed Chickadee,2,,,-
54,10/20/2023,B6,Morning (7-9am),Red-breasted Nuthatch,1,,,-
55,10/20/2023,C1,Mid-day (11am-1pm),Rock Pigeon,18,,,-
55,10/20/2023,C1,Mid-day (11am-1pm),Anna's Hummingbird,3,,,-
55,10/20/2023,C1,Mid-day (11am-1pm),Accipitridae_Family,1,,,-
55,10/20/2023,C1,Mid-day (11am-1pm),American Crow,29,,,-
56,10/20/2023,C2,Mid-day (11am-1pm),Rock Pigeon,1,,,-
56,10/20/2023,C2,Mid-day (11am-1pm),Peregrine Falcon,1,,,-
56,10/20/2023,C2,Mid-day (11am-1pm),American Crow,14,,,-
56,10/20/2023,C2,Mid-day (11am-1pm),Chestnut-backed Chickadee,1,,,-
57,10/20/2023,C3,Mid-day (11am-1pm),Rock Pigeon,12,,,-
57,10/20/2023,C3,Mid-day (11am-1pm),Anna's Hummingbird,1,,,-
57,10/20/2023,C3,Mid-day (11am-1pm),Accipitridae_Family,1,,,-
57,10/20/2023,C3,Mid-day (11am-1pm),American Crow,20,,,-
58,10/20/2023,C4,Mid-day (11am-1pm),American Crow,10,,,-
58,10/20/2023,C4,Mid-day (11am-1pm),Chestnut-backed Chickadee,1,,,-
58,10/20/2023,C4,Mid-day (11am-1pm),Townsend's Warbler,1,,,-
59,10/20/2023,C5,Mid-day (11am-1pm),Rock Pigeon,1,,,-
59,10/20/2023,C5,Mid-day (11am-1pm),American Crow,6,,,-
59,10/20/2023,C5,Mid-day (11am-1pm),Hermit Thrush,1,,,-
60,10/20/2023,C6,Mid-day (11am-1pm),Larus_Genus,1,,changed to Larus_Genus from larus sp.,-
60,10/20/2023,C6,Mid-day (11am-1pm),American Crow,4,,,-
60,10/20/2023,C6,Mid-day (11am-1pm),Chestnut-backed Chickadee,1,,,-
61,10/20/2023,A1,Evening (3-5pm),Rock Pigeon,10,,,-
61,10/20/2023,A1,Evening (3-5pm),Cooper's Hawk,1,,,-
61,10/20/2023,A1,Evening (3-5pm),American Crow,10,,,-
62,10/20/2023,A2,Evening (3-5pm),Rock Pigeon,1,,,-
62,10/20/2023,A2,Evening (3-5pm),Anna's Hummingbird,3,,,-
62,10/20/2023,A2,Evening (3-5pm),Picidae_Family,1,,,-
62,10/20/2023,A2,Evening (3-5pm),American Crow,4,,,-
62,10/20/2023,A2,Evening (3-5pm),Common Raven,1,,,-
62,10/20/2023,A2,Evening (3-5pm),Chestnut-backed Chickadee,3,,,-
62,10/20/2023,A2,Evening (3-5pm),Hermit Thrush,2,,,-
62,10/20/2023,A2,Evening (3-5pm),American Robin,3,,,-
62,10/20/2023,A2,Evening (3-5pm),Lesser Goldfinch,2,,,-
62,10/20/2023,A2,Evening (3-5pm),California Towhee,2,,,-
62,10/20/2023,A2,Evening (3-5pm),Townsend's Warbler,1,,,-
63,10/20/2023,A3,Evening (3-5pm),American Crow,5,,,-
63,10/20/2023,A3,Evening (3-5pm),Common Raven,1,,,-
63,10/20/2023,A3,Evening (3-5pm),Yellow-rumped Warbler,1,,,-
64,10/20/2023,A4,Evening (3-5pm),Anna's Hummingbird,2,,,-
64,10/20/2023,A4,Evening (3-5pm),American Crow,1,,,-
64,10/20/2023,A4,Evening (3-5pm),Dark-eyed Junco,1,,,-
64,10/20/2023,A4,Evening (3-5pm),Song Sparrow,1,,,-
64,10/20/2023,A4,Evening (3-5pm),California Towhee,2,,,-
65,10/20/2023,A5,Evening (3-5pm),American Crow,2,,,-
65,10/20/2023,A5,Evening (3-5pm),Common Raven,2,,,-
65,10/20/2023,A5,Evening (3-5pm),Chestnut-backed Chickadee,6,,,-
65,10/20/2023,A5,Evening (3-5pm),Red-breasted Nuthatch,1,,,-
66,10/20/2023,A6,Evening (3-5pm),Black Phoebe,1,,,-
66,10/20/2023,A6,Evening (3-5pm),Steller's Jay,1,,,-
66,10/20/2023,A6,Evening (3-5pm),American Crow,10,,,-
66,10/20/2023,A6,Evening (3-5pm),Oak Titmouse,1,,,-
66,10/20/2023,A6,Evening (3-5pm),American Robin,1,,,-
66,10/20/2023,A6,Evening (3-5pm),Lesser Goldfinch,1,,,-
66,10/20/2023,A6,Evening (3-5pm),Yellow-rumped Warbler,1,,,-
67,10/22/2023,A1,Morning (7-9am),Anna's Hummingbird,4,,,-
67,10/22/2023,A1,Morning (7-9am),Red-shouldered Hawk,1,,,-
67,10/22/2023,A1,Morning (7-9am),American Crow,8,,,-
67,10/22/2023,A1,Morning (7-9am),Bewick's Wren,1,,,-
67,10/22/2023,A1,Morning (7-9am),House Finch,4,,,-
67,10/22/2023,A1,Morning (7-9am),Dark-eyed Junco,6,,,-
67,10/22/2023,A1,Morning (7-9am),California Towhee,2,,,-
67,10/22/2023,A1,Morning (7-9am),Townsend's Warbler,1,,,-
68,10/22/2023,A2,Morning (7-9am),Anna's Hummingbird,3,,,-
68,10/22/2023,A2,Morning (7-9am),Picidae_Family,1,,,-
68,10/22/2023,A2,Morning (7-9am),American Crow,4,,,-
68,10/22/2023,A2,Morning (7-9am),Common Raven,1,,,-
68,10/22/2023,A2,Morning (7-9am),Chestnut-backed Chickadee,3,,,-
68,10/22/2023,A2,Morning (7-9am),Red-breasted Nuthatch,2,,,-
68,10/22/2023,A2,Morning (7-9am),House Finch,10,,,-
68,10/22/2023,A2,Morning (7-9am),Dark-eyed Junco,2,,,-
68,10/22/2023,A2,Morning (7-9am),California Towhee,2,,,-
69,10/22/2023,A3,Morning (7-9am),Anna's Hummingbird,2,,,-
69,10/22/2023,A3,Morning (7-9am),American Crow,7,,,-
69,10/22/2023,A3,Morning (7-9am),Hermit Thrush,1,,,-
69,10/22/2023,A3,Morning (7-9am),House Finch,3,,,-
69,10/22/2023,A3,Morning (7-9am),Lesser Goldfinch,3,,,-
70,10/22/2023,A4,Morning (7-9am),Anna's Hummingbird,3,,,-
70,10/22/2023,A4,Morning (7-9am),Downy Woodpecker,1,,,-
70,10/22/2023,A4,Morning (7-9am),American Crow,4,,,-
70,10/22/2023,A4,Morning (7-9am),Bushtit,10,,,-
70,10/22/2023,A4,Morning (7-9am),Bewick's Wren,1,,,-
70,10/22/2023,A4,Morning (7-9am),Hermit Thrush,1,,,-
70,10/22/2023,A4,Morning (7-9am),House Finch,4,,,-
70,10/22/2023,A4,Morning (7-9am),Lesser Goldfinch,8,,,-
