PC #,Date,Location,Time Bin,Observer,Start Time,End Time,Weather,Precipitation,Wind,Temperature,eBird Link,Notes,Jon's problem checker,,,
30,10/12/2023,A1,Mid-day (11am-1pm),SRG,12:57,13:07,Sunny,Dry,Calm,72,https://ebird.org/checklist/S152034061,,-,,,
31,10/12/2023,A1,Evening (3-5pm),SUC,15:58,16:08,Partial Cloudy,Dry,Slight Wind,,https://ebird.org/checklist/S152985127,,missing data?,,,
32,10/12/2023,A2,Evening (3-5pm),SUC,16:11,16:21,Partial Cloudy,Dry,Slight Wind,,https://ebird.org/checklist/S152985590,,missing data?,,,
33,10/12/2023,A3,Evening (3-5pm),SUC,16:29,16:39,Partial Cloudy,Dry,Slight Wind,,https://ebird.org/checklist/S152985792,Gateway Construction,missing data?,,,
34,10/12/2023,A4,Evening (3-5pm),SUC,16:41,16:51,Partial Cloudy,Dry,Slight Wind,,https://ebird.org/checklist/S152986023,,missing data?,,,
35,10/12/2023,A5,Evening (3-5pm),SUC,16:53,17:03,Partial Cloudy,Dry,Slight Wind,,https://ebird.org/checklist/S152986248,,missing data?,,,
36,10/12/2023,A6,Evening (3-5pm),SUC,17:06,17:16,Partial Cloudy,Dry,Slight Wind,,https://ebird.org/checklist/S152986407,,missing data?,,,
37,10/14/2023,C1,Morning (7-9am),SRG,7:53,8:03,Cloudy,Fog,Calm,59,https://ebird.org/checklist/S152170873,Construction drilling,-,,,
38,10/14/2023,C2,Morning (7-9am),SRG,8:07,8:16,Cloudy,Fog,Calm,59,https://ebird.org/checklist/S152172659,,-,,,
39,10/14/2023,C3,Morning (7-9am),SRG,8:18,8:28,Cloudy,Fog,Calm,59,https://ebird.org/checklist/S152174633,,-,,,
40,10/14/2023,C4,Morning (7-9am),SRG,8:30,8:39,Cloudy,Fog,Calm,60,https://ebird.org/checklist/S152176664,Bunch of tables and people,-,,,
41,10/14/2023,C5,Morning (7-9am),SRG,8:41,8:51,Cloudy,Fog,Calm,61,https://ebird.org/checklist/S152178710,Most of lot is blocked off by construction fencing,-,,,
42,10/14/2023,C6,Morning (7-9am),SRG,8:55,9:05,Cloudy,Fog,Calm,61,https://ebird.org/checklist/S152180476,,-,,,
43,10/14/2023,A1,Mid-day (11am-1pm),SRG,11:54,12:04,,Dry,Calm,68,https://ebird.org/checklist/S152208915,,missing data?,,,
44,10/14/2023,A2,Mid-day (11am-1pm),SRG,12:06,12:16,,Dry,Calm,68,https://ebird.org/checklist/S152210665,,missing data?,,,
45,10/14/2023,A3,Mid-day (11am-1pm),SRG,12:22,12:32,,Dry,Calm,68,https://ebird.org/checklist/S152212734,Construction,missing data?,,,
46,10/14/2023,A4,Mid-day (11am-1pm),SRG,12:33,12:43,,Dry,Calm,68,https://ebird.org/checklist/S152214243,,missing data?,,,
47,10/14/2023,A5,Mid-day (11am-1pm),SRG,12:44,12:53,,Dry,Calm,70,https://ebird.org/checklist/S152215526,Whirring from Weil Hall.,missing data?,,,
48,10/14/2023,A6,Mid-day (11am-1pm),SRG,12:56,13:05,,Dry,Calm,70,https://ebird.org/checklist/S152216973,,missing data?,,,
49,10/20/2023,B1,Morning (7-9am),SRG,7:48,7:58,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152669368,,-,,,
50,10/20/2023,B2,Morning (7-9am),SRG,8:00,8:11,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152670312,,-,,,
51,10/20/2023,B3,Morning (7-9am),SRG,8:15,8:25,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152671364,,-,,,
52,10/20/2023,B4,Morning (7-9am),SRG,8:26,8:36,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S152672326,Some machinery noise.,-,,,
53,10/20/2023,B5,Morning (7-9am),SRG,8:39,8:49,Cloudy,Drizzle,Slight Wind,59,https://ebird.org/checklist/S152673298,Lots of noise from Weil Hall and across the street,-,,,
54,10/20/2023,B6,Morning (7-9am),SRG,8:52,9:01,Cloudy,Drizzle,Slight Wind,59,https://ebird.org/checklist/S152674059,,-,,,
55,10/20/2023,C1,Mid-day (11am-1pm),LSW,11:00,11:10,Partial Cloudy,Dry,Slight Wind,63,https://ebird.org/checklist/S152683390,loud construction beside Evan's Hall entrance,-,,,
56,10/20/2023,C2,Mid-day (11am-1pm),LSW,11:16,11:26,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152684479,,-,,,
57,10/20/2023,C3,Mid-day (11am-1pm),LSW,11:32,11:42,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152685365,,-,,,
58,10/20/2023,C4,Mid-day (11am-1pm),LSW,11:46,11:56,Cloudy,Dry,Calm,65,https://ebird.org/checklist/S152686230,,-,,,
59,10/20/2023,C5,Mid-day (11am-1pm),LSW,12:04,12:14,Cloudy,Dry,Windy,66,https://ebird.org/checklist/S152687750,"construction in traffic circle, C5 blocked so I stood in front of Durham Studio Theatre - path between C4-C5 blocked due to construction so I headed north from C4 and turned west after passing Dwinelle, then turned south to reach C5",-,,,
60,10/20/2023,C6,Mid-day (11am-1pm),LSW,12:24,12:34,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S152689622,,-,,,
61,10/20/2023,A1,Evening (3-5pm),SRG,15:04,15:14,Partial Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S152698733,,-,,,
62,10/20/2023,A2,Evening (3-5pm),SRG,15:17,15:27,Partial Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S152699554,,-,,,
63,10/20/2023,A3,Evening (3-5pm),SRG,15:35,15:44,Partial Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S152700565,,-,,,
64,10/20/2023,A4,Evening (3-5pm),SRG,15:46,15:56,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152701221,Loud music playing from West Circle,-,,,
65,10/20/2023,A5,Evening (3-5pm),SRG,15:58,16:08,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152701795,,-,,,
66,10/20/2023,A6,Evening (3-5pm),SRG,16:09,16:19,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S152702401,,-,,,
67,10/22/2023,A1,Morning (7-9am),SRG,7:43,7:53,Cloudy,Drizzle,Calm,58,https://ebird.org/checklist/S152824606,,-,,,
68,10/22/2023,A2,Morning (7-9am),SRG,7:55,8:05,Cloudy,Drizzle,Calm,58,https://ebird.org/checklist/S152826043,,-,,,
69,10/22/2023,A3,Morning (7-9am),SRG,8:11,8:21,Cloudy,Drizzle,Calm,58,https://ebird.org/checklist/S152827715,,-,,,
70,10/22/2023,A4,Morning (7-9am),SRG,8:22,8:31,Cloudy,Drizzle,Calm,60,https://ebird.org/checklist/S152828870,,-,,,
71,10/22/2023,A5,Morning (7-9am),SRG,8:33,8:42,Cloudy,Drizzle,Calm,61,https://ebird.org/checklist/S152830070,,-,,,
72,10/22/2023,A6,Morning (7-9am),SRG,8:45,8:55,Cloudy,Drizzle,Calm,61,https://ebird.org/checklist/S152831272,,-,,,
73,10/22/2023,C1,Mid-day (11am-1pm),SRG,11:46,11:55,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152849759,,-,,,
74,10/22/2023,C2,Mid-day (11am-1pm),SRG,11:57,12:07,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152850688,,-,,,
75,10/22/2023,C3,Mid-day (11am-1pm),SRG,12:09,12:20,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152851783,,-,,,
76,10/22/2023,C4,Mid-day (11am-1pm),SRG,12:22,12:32,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152852833,,-,,,
77,10/22/2023,C5,Mid-day (11am-1pm),SRG,12:34,12:44,Cloudy,Rain,Calm,65,https://ebird.org/checklist/S152853841,,-,,,
78,10/22/2023,C6,Mid-day (11am-1pm),SRG,12:47,12:56,Cloudy,Drizzle,Calm,64,https://ebird.org/checklist/S152854965,,-,,,
79,10/22/2023,B6,Evening (3-5pm),SRG,14:56,15:06,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152865708,,-,,,
80,10/22/2023,B5,Evening (3-5pm),SRG,15:07,15:17,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152866660,Loud whirring,-,,,
81,10/22/2023,B4,Evening (3-5pm),SRG,15:19,15:29,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152867630,,-,,,
82,10/22/2023,B3,Evening (3-5pm),SRG,15:29,15:39,Cloudy,Drizzle,Calm,63,https://ebird.org/checklist/S152868406,,-,,,
83,10/22/2023,B2,Evening (3-5pm),SRG,15:41,15:50,Cloudy,Dry,Calm,63,https://ebird.org/checklist/S152869156,,-,,,
84,10/22/2023,B1,Evening (3-5pm),SRG,15:52,16:02,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S152869998,,-,,,
85,10/25/2023,B1,Morning (7-9am),LSW,7:01,7:11,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153034870,first PC was still a little dusky at start but brightened after a couple minutes,-,,,
86,10/25/2023,B2,Morning (7-9am),LSW,7:17,7:27,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153036019,,-,,,
87,10/25/2023,B3,Morning (7-9am),LSW,7:33,7:43,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153036919,,-,,,
88,10/25/2023,B4,Morning (7-9am),LSW,7:46,7:56,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153037735,loud construction ongoing in fenced off area by B4 and behind in Dwinelle traffic circle - hard to hear,-,,,
89,10/25/2023,B5,Morning (7-9am),LSW,8:00,8:10,Sunny,Dry,Calm,53,https://ebird.org/checklist/S153038622,loud equipment across the creek,-,,,
90,10/25/2023,B6,Morning (7-9am),LSW,8:13,8:23,Sunny,Dry,Calm,53,https://ebird.org/checklist/S153039505,,-,,,
91,10/25/2023,C1,Mid-day (11am-1pm),SRG,12:12,12:22,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153054034,,-,,,
92,10/25/2023,C2,Mid-day (11am-1pm),SRG,12:24,12:33,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153054613,,-,,,
93,10/25/2023,C3,Mid-day (11am-1pm),SRG,12:36,12:45,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153055301,,-,,,
94,10/25/2023,C4,Mid-day (11am-1pm),SRG,12:47,12:57,Partial Cloudy,Dry,Calm,63,https://ebird.org/checklist/S153056045,protest at sather gate,-,,,
95,10/25/2023,C5,Mid-day (11am-1pm),SRG,13:01,13:10,Partial Cloudy,Dry,Calm,64,https://ebird.org/checklist/S153056746,construction,-,,,
96,10/25/2023,C6,Mid-day (11am-1pm),SRG,13:12,13:21,Partial Cloudy,Dry,Calm,64,https://ebird.org/checklist/S153057416,,-,,,
97,10/25/2023,A6,Evening (3-5pm),SRG,15:50,16:00,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153066296,,-,,,
98,10/25/2023,A5,Evening (3-5pm),SRG,16:02,16:12,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153066906,,-,,,
99,10/25/2023,A4,Evening (3-5pm),SRG,16:14,16:24,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153067473,,-,,,
100,10/25/2023,A3,Evening (3-5pm),SRG,16:26,16:36,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153067949,construction,-,,,
101,10/25/2023,A2,Evening (3-5pm),SRG,16:41,16:51,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153068594,,-,,,
102,10/25/2023,A1,Evening (3-5pm),SRG,16:54,17:04,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S153071767,,-,,,
103,10/28/2023,C1,Morning (7-9am),SRG,7:48,7:58,Sunny,Dry,Calm,45,https://ebird.org/checklist/S153243432,construction,-,,,
104,10/28/2023,C2,Morning (7-9am),SRG,7:59,8:09,Sunny,Dry,Calm,46,https://ebird.org/checklist/S153244520,construction,-,,,
105,10/28/2023,C3,Morning (7-9am),SRG,8:12,8:22,Sunny,Dry,Calm,46,https://ebird.org/checklist/S153245664,,-,,,
106,10/28/2023,C4,Morning (7-9am),SRG,8:24,8:34,Sunny,Dry,Calm,46,https://ebird.org/checklist/S153246820,,-,,,
107,10/28/2023,C5,Morning (7-9am),SRG,8:36,8:46,Sunny,Dry,Calm,48,https://ebird.org/checklist/S153248145,,-,,,
108,10/28/2023,C6,Morning (7-9am),SRG,8:50,9:00,Sunny,Dry,Calm,48,https://ebird.org/checklist/S153249436,,-,,,
109,10/28/2023,C1,Mid-day (11am-1pm),SUC,11:45,11:55,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S153290907,Bechtel Center construction,-,,,
110,10/28/2023,C2,Mid-day (11am-1pm),SUC,11:57,12:07,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S153291093,Campanile music + marching band rally --> really hard to hear birbs,-,,,
111,10/28/2023,C3,Mid-day (11am-1pm),SUC,12:11,12:21,Sunny,Dry,Calm,61,https://ebird.org/checklist/S153291457,"Campanile music, hard to hear stuff, they were playing ""This is Hallowe'en""!",-,,,
112,10/28/2023,C4,Mid-day (11am-1pm),SUC,12:25,12:35,Sunny,Dry,Calm,61,https://ebird.org/checklist/S153931438,,-,,,
113,10/28/2023,C5,Mid-day (11am-1pm),SUC,12:38,12:48,Sunny,Dry,Slight Wind,62,https://ebird.org/checklist/S153932644,"Barbecues in dwinelle lot, did count a bit to the north because roundabout not accessible",-,,,
114,10/28/2023,C6,Mid-day (11am-1pm),SUC,12:51,13:01,Sunny,Dry,Calm,63,https://ebird.org/checklist/S153932838,,-,,,
115,10/28/2023,B1,Evening (3-5pm),SUC,15:48,15:58,Sunny,Dry,Slight Wind,67,https://ebird.org/checklist/S159137336,,-,,,
116,10/28/2023,B2,Evening (3-5pm),SUC,15:59,16:09,Sunny,Dry,Calm,67,https://ebird.org/checklist/S159142225,,-,,,
117,10/28/2023,B3,Evening (3-5pm),SUC,16:10,16:20,Sunny,Dry,Calm,67,https://ebird.org/checklist/S159157029,,-,,,
118,10/28/2023,B4,Evening (3-5pm),SUC,16:24,16:34,Sunny,Dry,Slight Wind,66,https://ebird.org/checklist/S159158577,,-,,,
119,10/28/2023,B5,Evening (3-5pm),SUC,16:36,16:46,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S159160150,,-,,,
120,10/28/2023,B6,Evening (3-5pm),SUC,16:49,16:59,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S159160500,,-,,,
121,10/31/2023,B1,Morning (7-9am),SRG,7:59,8:09,Partial Cloudy,Dry,Calm,50,https://ebird.org/checklist/S153469720,,-,,,
122,10/31/2023,B2,Morning (7-9am),SRG,8:11,8:21,Partial Cloudy,Dry,Calm,51,https://ebird.org/checklist/S153470595,,-,,,
123,10/31/2023,B3,Morning (7-9am),SRG,8:24,8:34,Partial Cloudy,Dry,Calm,51,https://ebird.org/checklist/S153471503,,-,,,
124,10/31/2023,B4,Morning (7-9am),SRG,8:35,8:45,Partial Cloudy,Dry,Calm,51,https://ebird.org/checklist/S153472176,construction,-,,,
125,10/31/2023,B5,Morning (7-9am),SRG,8:47,8:57,Partial Cloudy,Dry,Calm,52,https://ebird.org/checklist/S153472925,Whirring from Weil,-,,,
126,10/31/2023,B6,Morning (7-9am),SRG,8:59,9:09,Partial Cloudy,Dry,Calm,52,https://ebird.org/checklist/S153473594,,-,,,
127,10/31/2023,B6,Mid-day (11am-1pm),SRG,10:56,11:06,Partial Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S153480601,,-,,,
128,10/31/2023,B5,Mid-day (11am-1pm),SRG,11:08,11:18,Partial Cloudy,Dry,Slight Wind,62,https://ebird.org/checklist/S153481128,Whirring from Weil,-,,,
129,10/31/2023,B4,Mid-day (11am-1pm),SRG,11:20,11:30,Partial Cloudy,Dry,Slight Wind,62,https://ebird.org/checklist/S153481814,construction,-,,,
130,10/31/2023,B3,Mid-day (11am-1pm),SRG,11:32,11:42,Partial Cloudy,Dry,Slight Wind,63,https://ebird.org/checklist/S153482380,,-,,,
131,10/31/2023,B2,Mid-day (11am-1pm),SRG,11:45,11:55,Partial Cloudy,Dry,Slight Wind,63,https://ebird.org/checklist/S153483118,,-,,,
132,10/31/2023,B1,Mid-day (11am-1pm),SRG,11:57,12:07,Partial Cloudy,Dry,Slight Wind,64,https://ebird.org/checklist/S153483843,,-,,,
133,10/31/2023,A1,Evening (3-5pm),SUC,15:20,15:30,Partial Cloudy,Dry,Slight Wind,74,https://ebird.org/checklist/S159161062,"someone blasting ""numa numa"" (dragostea din tei) so couldn't hear much",-,,,
134,10/31/2023,A2,Evening (3-5pm),SUC,15:34,15:44,Sunny,Dry,Slight Wind,75,https://ebird.org/checklist/S159162351,"loud construction by University House, obscured a lot of the bird calls",-,,,
135,10/31/2023,A3,Evening (3-5pm),SUC,15:52,16:02,Sunny,Dry,Slight Wind,75,https://ebird.org/checklist/S159163171,loud powerwashing by Genetics and Plant Bio building - could not hear much,-,,,
136,10/31/2023,A4,Evening (3-5pm),SUC,16:06,16:16,Sunny,Dry,Windy,75,https://ebird.org/checklist/S171191903,,-,,,
137,10/31/2023,A5,Evening (3-5pm),SUC,16:19,16:29,Sunny,Dry,Calm,75,https://ebird.org/checklist/S171193710,very quiet today; ac so hard to hear,-,,,
138,10/31/2023,A6,Evening (3-5pm),SUC,16:40,16:50,Sunny,Dry,Slight Wind,75,https://ebird.org/checklist/S171196161,[illegible],-,,,
139,11/1/2023,A1,Morning (7-9am),LSW,7:17,7:27,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153523646,,-,,,
140,11/1/2023,A2,Morning (7-9am),LSW,7:31,7:41,Sunny,Dry,Calm,51,https://ebird.org/checklist/S153524430,,-,,,
141,11/1/2023,A3,Morning (7-9am),LSW,7:54,8:04,Sunny,Dry,Calm,51,https://ebird.org/checklist/S153525696,,-,,,
142,11/1/2023,A4,Morning (7-9am),LSW,8:08,8:18,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153526644,,-,,,
143,11/1/2023,A5,Morning (7-9am),LSW,8:21,8:31,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153527350,,-,,,
144,11/1/2023,A6,Morning (7-9am),LSW,8:32,8:42,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153528165,,-,,,
145,11/1/2023,C1,Mid-day (11am-1pm),SUC,11:05,11:15,Sunny,Dry,Slight Wind,didnt measure,https://ebird.org/checklist/S171197078,,-,,,
146,11/1/2023,C2,Mid-day (11am-1pm),SUC,11:17,11:27,Sunny,Dry,Slight Wind,didnt measure,https://ebird.org/checklist/S171198305,"so many birdlike non-bird sounds; gull-sounding rope, junco-sounding hammer",-,,,
147,11/1/2023,C3,Mid-day (11am-1pm),SUC,11:30,11:40,Sunny,Dry,Calm,didnt measure,https://ebird.org/checklist/S171201518,"weird sounds from the campanile, bird or not?",-,,,
148,11/1/2023,C4,Mid-day (11am-1pm),SUC,11:41,11:51,Sunny,Dry,Calm,didnt measure,https://ebird.org/checklist/S171204647,ppl w/ megaphone,-,,,
149,11/1/2023,C5,Mid-day (11am-1pm),SUC,11:53,12:03,Sunny,Dry,Calm,didnt measure,https://ebird.org/checklist/S171205594,"construction noise, couldn't hear anything",-,,,
150,11/1/2023,C6,Mid-day (11am-1pm),SUC,12:05,12:15,Sunny,Dry,Calm,didnt measure,https://ebird.org/checklist/S171206154,,-,,,
151,11/1/2023,A6,Evening (3-5pm),SRG,15:48,15:58,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153554004,,-,,,
152,11/1/2023,A5,Evening (3-5pm),SRG,16:00,16:10,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153554548,,-,,,
153,11/1/2023,A4,Evening (3-5pm),SRG,16:12,16:22,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153555096,,-,,,
154,11/1/2023,A3,Evening (3-5pm),SRG,16:23,16:33,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153555580,,-,,,
155,11/1/2023,A2,Evening (3-5pm),SRG,16:39,16:49,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153556325,,-,,,
156,11/1/2023,A1,Evening (3-5pm),SRG,16:53,17:03,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153556929,,-,,,
157,11/5/2023,B1,Morning (7-9am),SRG,7:51,8:01,Cloudy,Dry,Calm,59,https://ebird.org/checklist/S153809319,,-,,,
158,11/5/2023,B2,Morning (7-9am),SRG,8:04,8:14,Cloudy,Dry,Calm,59,https://ebird.org/checklist/S153810987,,-,,,
159,11/5/2023,B3,Morning (7-9am),SRG,8:18,9:28,Cloudy,Dry,Calm,59,https://ebird.org/checklist/S153812244,,-,,,
160,11/5/2023,B4,Morning (7-9am),SRG,8:32,8:42,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S153813930,,-,,,
161,11/5/2023,B5,Morning (7-9am),SRG,8:46,8:56,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S153815359,Whirring from Weil,-,,,
162,11/5/2023,B6,Morning (7-9am),SRG,9:00,9:11,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S153816909,,-,,,
163,11/5/2023,C1,Mid-day (11am-1pm),SRG,11:30,11:40,Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S153832186,,-,,,
164,11/5/2023,C2,Mid-day (11am-1pm),SRG,11:42,11:52,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153833143,,-,,,
165,11/5/2023,C3,Mid-day (11am-1pm),SRG,11:54,12:04,Cloudy,Dry,Slight Wind,67,https://ebird.org/checklist/S153834259,,-,,,
166,11/5/2023,C4,Mid-day (11am-1pm),SRG,12:06,12:16,Cloudy,Dry,Windy,67,https://ebird.org/checklist/S153835543,,-,,,
167,11/5/2023,C5,Mid-day (11am-1pm),SRG,12:18,12:28,Cloudy,Dry,Slight Wind,67,https://ebird.org/checklist/S153836653,A bunch of trees were cut since I was last here.,-,,,
168,11/5/2023,C6,Mid-day (11am-1pm),SRG,12:34,12:44,Cloudy,Dry,Slight Wind,67,https://ebird.org/checklist/S153838117,,-,,,
169,11/5/2023,A6,Evening (3-5pm),SRG,15:16,15:26,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153852546,,-,,,
170,11/5/2023,A5,Evening (3-5pm),SRG,15:28,15:38,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153853479,,-,,,
171,11/5/2023,A4,Evening (3-5pm),SRG,15:40,15:50,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153854182,,-,,,
172,11/5/2023,A3,Evening (3-5pm),SRG,15:52,16:02,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153854899,,-,,,
173,11/5/2023,A2,Evening (3-5pm),SRG,16:08,16:18,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153855961,,-,,,
